"index"	"budget"	"keywords"	"original_language"	"title"	"popularity"	"release_date"	"revenue"	"runtime"	"vote_average"	"vote_count"	"genre"	"release_year"	"release_month"	"release_day"	"first_actor"	"first_actor_gender"	"director_first_name"	"director_gender"
2	2.45e+08	"spy based on novel secret agent sequel mi6"	"en"	"Spectre"	107.376788	2015-10-26	880674609	148	6.3	4466	"Action"	2015	10	26	"Daniel Craig"	"male"	"Sam"	"male"
2460	1.6e+07	NA	"en"	"The Unborn"	15.788784	2009-01-09	76514050	87	4.8	365	"Thriller"	2009	1	9	"Odette Annable"	"female"	"David"	"male"
219	1.2e+08	"robbery secret identity secret agent"	"en"	"Charlie's Angels: Full Throttle"	33.616115	2003-06-27	259175788	106	5.2	914	"Comedy"	2003	6	27	"Cameron Diaz"	"male"	"McG"	NA
2900	1.2e+07	NA	"ja"	"Space Battleship Yamato"	5.158067	2010-12-01	11212294	131	6.3	59	"Fiction"	2010	12	1	"Hiroyuki Ikeuchi"	"male"	"Takashi"	"male"
2236	0	"wave surfing sport mentor prot\u00e9g\u00e9 relationship santa cruz california"	"en"	"Chasing Mavericks"	13.621201	2012-10-25	0	117	7	216	"Drama"	2012	10	25	"Gerard Butler"	"male"	"Curtis"	"male"
386	7.5e+07	"berlin assassin based on novel amnesia sniper"	"en"	"The Bourne Supremacy"	53.213931	2004-07-23	288500217	108	7.2	2825	"Drama"	2004	7	23	"Matt Damon"	"male"	"Paul"	"male"
122	1.5e+08	"corruption mutant boxer army marvel comic"	"en"	"X-Men Origins: Wolverine"	5.954334	2009-04-28	373062864	107	6.2	4021	"Thriller"	2009	4	28	"Hugh Jackman"	"male"	"Gavin"	"male"
4627	0	NA	"en"	"Bizarre"	0.583446	2015-02-07	0	99	6.2	11	"Drama"	2015	2	7	"Pierre Prieur"	"male"	"\u00c9tienne"	NA
1699	6e+07	"psychology police operation police psychologist"	"en"	"Along Came a Spider"	21.252797	2001-04-06	105178561	104	6.1	400	"Thriller"	2001	4	6	"Morgan Freeman"	"female"	"Lee"	"male"
4636	0	"gay independent film mentally handicapped man"	"en"	"Chuck & Buck"	0.812855	2000-01-21	0	96	5.7	16	"Drama"	2000	1	21	"Mike White"	"male"	"Miguel"	"male"
4393	1e+06	"racing car growing up scam male prostitute"	"en"	"Speedway Junky"	0.340019	1999-02-11	0	104	5.2	7	"Drama"	1999	2	11	"Jesse Bradford"	"male"	"Nickolas"	"male"
